출발지,도착지,소요시간(분)
아키바 카트 오사카,신사이바시스지 상점가,0
아키바 카트 오사카,아베노 하루카스,18
아키바 카트 오사카,헵파이브 대관람차,28
아키바 카트 오사카,오사카 시립 주택 박물관,24
아키바 카트 오사카,덴포잔 대관람차,34
아키바 카트 오사카,구로몬시장,0
아키바 카트 오사카,신세카이 혼도리 상점가,0
아키바 카트 오사카,쓰텐카쿠,0
아키바 카트 오사카,덴덴타운 닛폰바시전기가,0
아키바 카트 오사카,신우메다 시티,35
아키바 카트 오사카,도톤보리 글리코 사인,0
아키바 카트 오사카,톤보리 리버 크류즈,0
아키바 카트 오사카,스파월드,13
아키바 카트 오사카,그랜드 프론트 오사카,26
아키바 카트 오사카,오사카 스테이션 시티,24
아키바 카트 오사카,해유관,37
아키바 카트 오사카,덴포잔 하버 빌리지,36
아키바 카트 오사카,오사카 이쿠노 코리아타운,28
아키바 카트 오사카,덴노지동물원,0
아키바 카트 오사카,모마 사쿠라노미야 공원,35
아키바 카트 오사카,조폐박물관,31
아키바 카트 오사카,시텐노지,0
아키바 카트 오사카,Hozenji Yokocho,0
아키바 카트 오사카,더 심포니홀,35
아키바 카트 오사카,오사카 텐만구 신사,22
아키바 카트 오사카,천연 노천온천 스파 스미노에,40
아키바 카트 오사카,스미요시 타이샤,22
아키바 카트 오사카,텐로쿠 상점가 진흥조합 사무소,25
아키바 카트 오사카,일본민가취락박물관,54
아키바 카트 오사카,난바 시티 본관,0
아키바 카트 오사카,나가이 공원,28
아키바 카트 오사카,아메리카무라,20
아키바 카트 오사카,키즈프라자 오사카,23
아키바 카트 오사카,난바 파크스,0
아키바 카트 오사카,다이마루 백화점 신사이바시점,17
아키바 카트 오사카,나카노시마 장미 정원,19
아키바 카트 오사카,호젠지,0
아키바 카트 오사카,오사카 부 사키시마청사 전망대,42
아키바 카트 오사카,센니치마에 도구야스지 상점가,0
아키바 카트 오사카,오사카 컵라면박물관,54
아키바 카트 오사카,니시노마루 정원,31
아키바 카트 오사카,한큐백화점,24
아키바 카트 오사카,돈키호테 도톤보리점,0
아키바 카트 오사카,교세라 돔 오사카,22
아키바 카트 오사카,타카무라 와인 & 커피 로스터스,31
아키바 카트 오사카,ABENO HARUKAS Art Museum,22
아키바 카트 오사카,레고랜드 디스커버리센터 오사카,37
아키바 카트 오사카,한큐 3번가,26
아키바 카트 오사카,오사카 수상버스 아쿠아라이너,29
아키바 카트 오사카,Takimikoji,35
아키바 카트 오사카,천연온천 나니와노유,28
아키바 카트 오사카,요시모토 난바그랜드카게쓰 극장,0
아키바 카트 오사카,난바 워크,0
아키바 카트 오사카,반파쿠기넨코엔 (엑스포’70 기념공원),60
아키바 카트 오사카,나가이 얀마스타디움,28
아키바 카트 오사카,간사이 공항,73
아키바 카트 오사카,린쿠프리미엄아웃렛,49
아키바 카트 오사카,Hep Five,26
아키바 카트 오사카,기시와다성,36
아키바 카트 오사카,국립국제미술관,29
아키바 카트 오사카,다카시마야 오사카점,0
아키바 카트 오사카,우쓰보 공원,24
아키바 카트 오사카,국립문락극장,0
아키바 카트 오사카,우메다 공중정원,34
아키바 카트 오사카,오사카 성 공원,34
아키바 카트 오사카,오사카 성 천수각,36
아키바 카트 오사카,덴시바,16
아키바 카트 오사카,오사카시립 나가이 식물원,31
아키바 카트 오사카,소라니와 온천 오사카베이타워,25
아키바 카트 오사카,오사카 과학기술관,26
아키바 카트 오사카,태양의 탑,61
아키바 카트 오사카,오사카시 중앙공회당,23
아키바 카트 오사카,Diamor 오사카(지하),27
아키바 카트 오사카,오사카 국제공항,40
아키바 카트 오사카,메이드리밍 오사카 난바점,0
오사카 역사 박물관,도톤보리,19
오사카 역사 박물관,오사카 성,0
오사카 역사 박물관,아키바 카트 오사카,20
오사카 역사 박물관,우메다 스카이빌딩,33
오사카 역사 박물관,에비스 다리,21
오사카 역사 박물관,하루카스 300,16
오사카 역사 박물관,유니버셜 스튜디오 재팬,36
오사카 역사 박물관,신사이바시스지 상점가,22
오사카 역사 박물관,아베노 하루카스,15
오사카 역사 박물관,헵파이브 대관람차,20
오사카 역사 박물관,오사카 시립 주택 박물관,19
오사카 역사 박물관,덴포잔 대관람차,26
오사카 역사 박물관,구로몬시장,16
오사카 역사 박물관,신세카이 혼도리 상점가,24
오사카 역사 박물관,쓰텐카쿠,23
오사카 역사 박물관,덴덴타운 닛폰바시전기가,22
오사카 역사 박물관,신우메다 시티,34
오사카 역사 박물관,도톤보리 글리코 사인,20
오사카 역사 박물관,톤보리 리버 크류즈,21
오사카 역사 박물관,스파월드,21
오사카 역사 박물관,그랜드 프론트 오사카,20
오사카 역사 박물관,오사카 스테이션 시티,16
오사카 역사 박물관,해유관,29
오사카 역사 박물관,덴포잔 하버 빌리지,28
오사카 역사 박물관,오사카 이쿠노 코리아타운,29
오사카 역사 박물관,덴노지동물원,19
오사카 역사 박물관,모마 사쿠라노미야 공원,26
오사카 역사 박물관,조폐박물관,18
오사카 역사 박물관,시텐노지,13
오사카 역사 박물관,Hozenji Yokocho,19
오사카 역사 박물관,더 심포니홀,33
오사카 역사 박물관,오사카 텐만구 신사,13
오사카 역사 박물관,천연 노천온천 스파 스미노에,43
오사카 역사 박물관,스미요시 타이샤,33
오사카 역사 박물관,텐로쿠 상점가 진흥조합 사무소,20
오사카 역사 박물관,일본민가취락박물관,50
오사카 역사 박물관,난바 시티 본관,19
오사카 역사 박물관,나가이 공원,29
오사카 역사 박물관,아메리카무라,22
오사카 역사 박물관,키즈프라자 오사카,19
오사카 역사 박물관,난바 파크스,20
오사카 역사 박물관,다이마루 백화점 신사이바시점,19
오사카 역사 박물관,나카노시마 장미 정원,15
오사카 역사 박물관,호젠지,18
오사카 역사 박물관,오사카 부 사키시마청사 전망대,34
오사카 역사 박물관,센니치마에 도구야스지 상점가,22
오사카 역사 박물관,오사카 컵라면박물관,52
오사카 역사 박물관,니시노마루 정원,0
오사카 역사 박물관,한큐백화점,16
오사카 역사 박물관,돈키호테 도톤보리점,21
오사카 역사 박물관,교세라 돔 오사카,26
오사카 역사 박물관,타카무라 와인 & 커피 로스터스,24
오사카 역사 박물관,ABENO HARUKAS Art Museum,19
오사카 역사 박물관,레고랜드 디스커버리센터 오사카,29
오사카 역사 박물관,한큐 3번가,17
오사카 역사 박물관,오사카 수상버스 아쿠아라이너,17
오사카 역사 박물관,Takimikoji,33
오사카 역사 박물관,천연온천 나니와노유,24
오사카 역사 박물관,요시모토 난바그랜드카게쓰 극장,20
오사카 역사 박물관,난바 워크,17
오사카 역사 박물관,반파쿠기넨코엔 (엑스포’70 기념공원),62
오사카 역사 박물관,나가이 얀마스타디움,27
오사카 역사 박물관,간사이 공항,54
오사카 역사 박물관,린쿠프리미엄아웃렛,66
오사카 역사 박물관,Hep Five,17
오사카 역사 박물관,기시와다성,57
오사카 역사 박물관,국립국제미술관,24
오사카 역사 박물관,다카시마야 오사카점,19
오사카 역사 박물관,우쓰보 공원,17
오사카 역사 박물관,국립문락극장,17
오사카 역사 박물관,우메다 공중정원,33
오사카 역사 박물관,오사카 성 공원,0
오사카 역사 박물관,오사카 성 천수각,0
오사카 역사 박물관,덴시바,13
오사카 역사 박물관,오사카시립 나가이 식물원,32
오사카 역사 박물관,소라니와 온천 오사카베이타워,23
오사카 역사 박물관,오사카 과학기술관,17
오사카 역사 박물관,태양의 탑,58
오사카 역사 박물관,오사카시 중앙공회당,17
오사카 역사 박물관,Diamor 오사카(지하),16
오사카 역사 박물관,오사카 국제공항,44
오사카 역사 박물관,메이드리밍 오사카 난바점,24
우메다 스카이빌딩,도톤보리,28
우메다 스카이빌딩,오사카 성,41
우메다 스카이빌딩,아키바 카트 오사카,35
우메다 스카이빌딩,오사카 역사 박물관,33
우메다 스카이빌딩,에비스 다리,27
우메다 스카이빌딩,하루카스 300,27
우메다 스카이빌딩,유니버셜 스튜디오 재팬,24
우메다 스카이빌딩,신사이바시스지 상점가,26
우메다 스카이빌딩,아베노 하루카스,25
우메다 스카이빌딩,헵파이브 대관람차,15
우메다 스카이빌딩,오사카 시립 주택 박물관,23
우메다 스카이빌딩,덴포잔 대관람차,37
우메다 스카이빌딩,구로몬시장,30
우메다 스카이빌딩,신세카이 혼도리 상점가,33
우메다 스카이빌딩,쓰텐카쿠,33
우메다 스카이빌딩,덴덴타운 닛폰바시전기가,34
우메다 스카이빌딩,신우메다 시티,0
우메다 스카이빌딩,도톤보리 글리코 사인,27
우메다 스카이빌딩,톤보리 리버 크류즈,29
우메다 스카이빌딩,스파월드,29
우메다 스카이빌딩,그랜드 프론트 오사카,0
우메다 스카이빌딩,오사카 스테이션 시티,0
우메다 스카이빌딩,해유관,37
우메다 스카이빌딩,덴포잔 하버 빌리지,36
우메다 스카이빌딩,오사카 이쿠노 코리아타운,45
우메다 스카이빌딩,덴노지동물원,34
우메다 스카이빌딩,모마 사쿠라노미야 공원,21
우메다 스카이빌딩,조폐박물관,31
우메다 스카이빌딩,시텐노지,35
우메다 스카이빌딩,Hozenji Yokocho,27
우메다 스카이빌딩,더 심포니홀,0
우메다 스카이빌딩,오사카 텐만구 신사,28
우메다 스카이빌딩,천연 노천온천 스파 스미노에,50
우메다 스카이빌딩,스미요시 타이샤,42
우메다 스카이빌딩,텐로쿠 상점가 진흥조합 사무소,22
우메다 스카이빌딩,일본민가취락박물관,44
우메다 스카이빌딩,난바 시티 본관,25
우메다 스카이빌딩,나가이 공원,38
우메다 스카이빌딩,아메리카무라,25
우메다 스카이빌딩,키즈프라자 오사카,18
우메다 스카이빌딩,난바 파크스,26
우메다 스카이빌딩,다이마루 백화점 신사이바시점,22
우메다 스카이빌딩,나카노시마 장미 정원,22
우메다 스카이빌딩,호젠지,26
우메다 스카이빌딩,오사카 부 사키시마청사 전망대,42
우메다 스카이빌딩,센니치마에 도구야스지 상점가,28
우메다 스카이빌딩,오사카 컵라면박물관,33
우메다 스카이빌딩,니시노마루 정원,38
우메다 스카이빌딩,한큐백화점,0
우메다 스카이빌딩,돈키호테 도톤보리점,29
우메다 스카이빌딩,교세라 돔 오사카,31
우메다 스카이빌딩,타카무라 와인 & 커피 로스터스,25
우메다 스카이빌딩,ABENO HARUKAS Art Museum,30
우메다 스카이빌딩,레고랜드 디스커버리센터 오사카,36
우메다 스카이빌딩,한큐 3번가,0
우메다 스카이빌딩,오사카 수상버스 아쿠아라이너,18
우메다 스카이빌딩,Takimikoji,0
우메다 스카이빌딩,천연온천 나니와노유,19
우메다 스카이빌딩,요시모토 난바그랜드카게쓰 극장,27
우메다 스카이빌딩,난바 워크,25
우메다 스카이빌딩,반파쿠기넨코엔 (엑스포’70 기념공원),49
우메다 스카이빌딩,나가이 얀마스타디움,39
우메다 스카이빌딩,간사이 공항,73
우메다 스카이빌딩,린쿠프리미엄아웃렛,69
우메다 스카이빌딩,Hep Five,12
우메다 스카이빌딩,기시와다성,68
우메다 스카이빌딩,국립국제미술관,23
우메다 스카이빌딩,다카시마야 오사카점,24
우메다 스카이빌딩,우쓰보 공원,26
우메다 스카이빌딩,국립문락극장,32
우메다 스카이빌딩,우메다 공중정원,0
우메다 스카이빌딩,오사카 성 공원,41
우메다 스카이빌딩,오사카 성 천수각,41
우메다 스카이빌딩,덴시바,34
우메다 스카이빌딩,오사카시립 나가이 식물원,45
우메다 스카이빌딩,소라니와 온천 오사카베이타워,25
우메다 스카이빌딩,오사카 과학기술관,27
우메다 스카이빌딩,태양의 탑,59
우메다 스카이빌딩,오사카시 중앙공회당,22
우메다 스카이빌딩,Diamor 오사카(지하),0
우메다 스카이빌딩,오사카 국제공항,38
우메다 스카이빌딩,메이드리밍 오사카 난바점,29
에비스 다리,도톤보리,0
에비스 다리,오사카 성,34
에비스 다리,아키바 카트 오사카,0
에비스 다리,오사카 역사 박물관,22
에비스 다리,우메다 스카이빌딩,26
에비스 다리,하루카스 300,15
에비스 다리,유니버셜 스튜디오 재팬,26
에비스 다리,신사이바시스지 상점가,0
에비스 다리,아베노 하루카스,14
에비스 다리,헵파이브 대관람차,20
에비스 다리,오사카 시립 주택 박물관,23
에비스 다리,덴포잔 대관람차,30
에비스 다리,구로몬시장,10
에비스 다리,신세카이 혼도리 상점가,15
에비스 다리,쓰텐카쿠,14
에비스 다리,덴덴타운 닛폰바시전기가,0
에비스 다리,신우메다 시티,27
에비스 다리,도톤보리 글리코 사인,0
에비스 다리,톤보리 리버 크류즈,0
에비스 다리,스파월드,12
에비스 다리,그랜드 프론트 오사카,18
에비스 다리,오사카 스테이션 시티,16
에비스 다리,해유관,32
에비스 다리,덴포잔 하버 빌리지,31
에비스 다리,오사카 이쿠노 코리아타운,22
에비스 다리,덴노지동물원,22
에비스 다리,모마 사쿠라노미야 공원,30
에비스 다리,조폐박물관,29
에비스 다리,시텐노지,17
에비스 다리,Hozenji Yokocho,0
에비스 다리,더 심포니홀,29
에비스 다리,오사카 텐만구 신사,20
에비스 다리,천연 노천온천 스파 스미노에,29
에비스 다리,스미요시 타이샤,26
에비스 다리,텐로쿠 상점가 진흥조합 사무소,23
에비스 다리,일본민가취락박물관,46
에비스 다리,난바 시티 본관,0
에비스 다리,나가이 공원,21
에비스 다리,아메리카무라,0
에비스 다리,키즈프라자 오사카,20
에비스 다리,난바 파크스,0
에비스 다리,다이마루 백화점 신사이바시점,0
에비스 다리,나카노시마 장미 정원,17
에비스 다리,호젠지,0
에비스 다리,오사카 부 사키시마청사 전망대,37
에비스 다리,센니치마에 도구야스지 상점가,0
에비스 다리,오사카 컵라면박물관,46
에비스 다리,니시노마루 정원,31
에비스 다리,한큐백화점,16
에비스 다리,돈키호테 도톤보리점,0
에비스 다리,교세라 돔 오사카,14
에비스 다리,타카무라 와인 & 커피 로스터스,23
에비스 다리,ABENO HARUKAS Art Museum,17
에비스 다리,레고랜드 디스커버리센터 오사카,31
에비스 다리,한큐 3번가,18
에비스 다리,오사카 수상버스 아쿠아라이너,24
에비스 다리,Takimikoji,27
에비스 다리,천연온천 나니와노유,26
에비스 다리,요시모토 난바그랜드카게쓰 극장,0
에비스 다리,난바 워크,0
에비스 다리,반파쿠기넨코엔 (엑스포’70 기념공원),59
에비스 다리,나가이 얀마스타디움,26
에비스 다리,간사이 공항,47
에비스 다리,린쿠프리미엄아웃렛,51
에비스 다리,Hep Five,18
에비스 다리,기시와다성,43
에비스 다리,국립국제미술관,21
에비스 다리,다카시마야 오사카점,0
에비스 다리,우쓰보 공원,16
에비스 다리,국립문락극장,8
에비스 다리,우메다 공중정원,26
에비스 다리,오사카 성 공원,36
에비스 다리,오사카 성 천수각,38
에비스 다리,덴시바,17
에비스 다리,오사카시립 나가이 식물원,28
에비스 다리,소라니와 온천 오사카베이타워,25
에비스 다리,오사카 과학기술관,17
에비스 다리,태양의 탑,60
에비스 다리,오사카시 중앙공회당,17
에비스 다리,Diamor 오사카(지하),19
에비스 다리,오사카 국제공항,34
에비스 다리,메이드리밍 오사카 난바점,0
하루카스 300,도톤보리,16
하루카스 300,오사카 성,31
하루카스 300,아키바 카트 오사카,17
하루카스 300,오사카 역사 박물관,17
하루카스 300,우메다 스카이빌딩,25
하루카스 300,에비스 다리,15
하루카스 300,유니버셜 스튜디오 재팬,26
하루카스 300,신사이바시스지 상점가,16
하루카스 300,아베노 하루카스,0
하루카스 300,헵파이브 대관람차,25
하루카스 300,오사카 시립 주택 박물관,27
하루카스 300,덴포잔 대관람차,30
하루카스 300,구로몬시장,17
하루카스 300,신세카이 혼도리 상점가,13
하루카스 300,쓰텐카쿠,13
하루카스 300,덴덴타운 닛폰바시전기가,17
하루카스 300,신우메다 시티,26
하루카스 300,도톤보리 글리코 사인,15
하루카스 300,톤보리 리버 크류즈,17
하루카스 300,스파월드,9
하루카스 300,그랜드 프론트 오사카,19
하루카스 300,오사카 스테이션 시티,20
하루카스 300,해유관,31
하루카스 300,덴포잔 하버 빌리지,32
하루카스 300,오사카 이쿠노 코리아타운,23
하루카스 300,덴노지동물원,0
하루카스 300,모마 사쿠라노미야 공원,26
하루카스 300,조폐박물관,26
하루카스 300,시텐노지,11
하루카스 300,Hozenji Yokocho,15
하루카스 300,더 심포니홀,29
하루카스 300,오사카 텐만구 신사,21
하루카스 300,천연 노천온천 스파 스미노에,33
하루카스 300,스미요시 타이샤,19
하루카스 300,텐로쿠 상점가 진흥조합 사무소,27
하루카스 300,일본민가취락박물관,51
하루카스 300,난바 시티 본관,13
하루카스 300,나가이 공원,13
하루카스 300,아메리카무라,17
하루카스 300,키즈프라자 오사카,24
하루카스 300,난바 파크스,14
하루카스 300,다이마루 백화점 신사이바시점,14
하루카스 300,나카노시마 장미 정원,21
하루카스 300,호젠지,14
하루카스 300,오사카 부 사키시마청사 전망대,36
하루카스 300,센니치마에 도구야스지 상점가,15
하루카스 300,오사카 컵라면박물관,53
하루카스 300,니시노마루 정원,26
하루카스 300,한큐백화점,21
하루카스 300,돈키호테 도톤보리점,17
하루카스 300,교세라 돔 오사카,22
하루카스 300,타카무라 와인 & 커피 로스터스,28
하루카스 300,ABENO HARUKAS Art Museum,0
하루카스 300,레고랜드 디스커버리센터 오사카,30
하루카스 300,한큐 3번가,23
하루카스 300,오사카 수상버스 아쿠아라이너,21
하루카스 300,Takimikoji,26
하루카스 300,천연온천 나니와노유,32
하루카스 300,요시모토 난바그랜드카게쓰 극장,15
하루카스 300,난바 워크,13
하루카스 300,반파쿠기넨코엔 (엑스포’70 기념공원),61
하루카스 300,나가이 얀마스타디움,14
하루카스 300,간사이 공항,41
하루카스 300,린쿠프리미엄아웃렛,54
하루카스 300,Hep Five,23
하루카스 300,기시와다성,45
하루카스 300,국립국제미술관,23
하루카스 300,다카시마야 오사카점,12
하루카스 300,우쓰보 공원,18
하루카스 300,국립문락극장,17
하루카스 300,우메다 공중정원,25
하루카스 300,오사카 성 공원,29
하루카스 300,오사카 성 천수각,31
하루카스 300,덴시바,0
하루카스 300,오사카시립 나가이 식물원,20
하루카스 300,소라니와 온천 오사카베이타워,19
하루카스 300,오사카 과학기술관,19
하루카스 300,태양의 탑,62
하루카스 300,오사카시 중앙공회당,22
하루카스 300,Diamor 오사카(지하),22
하루카스 300,오사카 국제공항,38
하루카스 300,메이드리밍 오사카 난바점,14
유니버셜 스튜디오 재팬,도톤보리,29
유니버셜 스튜디오 재팬,오사카 성,45
유니버셜 스튜디오 재팬,아키바 카트 오사카,30
유니버셜 스튜디오 재팬,오사카 역사 박물관,32
유니버셜 스튜디오 재팬,우메다 스카이빌딩,25
유니버셜 스튜디오 재팬,에비스 다리,28
유니버셜 스튜디오 재팬,하루카스 300,22
유니버셜 스튜디오 재팬,신사이바시스지 상점가,34
유니버셜 스튜디오 재팬,아베노 하루카스,20
유니버셜 스튜디오 재팬,헵파이브 대관람차,22
유니버셜 스튜디오 재팬,오사카 시립 주택 박물관,25
유니버셜 스튜디오 재팬,덴포잔 대관람차,22
유니버셜 스튜디오 재팬,구로몬시장,27
유니버셜 스튜디오 재팬,신세카이 혼도리 상점가,22
유니버셜 스튜디오 재팬,쓰텐카쿠,22
유니버셜 스튜디오 재팬,덴덴타운 닛폰바시전기가,27
유니버셜 스튜디오 재팬,신우메다 시티,26
유니버셜 스튜디오 재팬,도톤보리 글리코 사인,27
유니버셜 스튜디오 재팬,톤보리 리버 크류즈,32
유니버셜 스튜디오 재팬,스파월드,18
유니버셜 스튜디오 재팬,그랜드 프론트 오사카,17
유니버셜 스튜디오 재팬,오사카 스테이션 시티,15
유니버셜 스튜디오 재팬,해유관,25
유니버셜 스튜디오 재팬,덴포잔 하버 빌리지,24
유니버셜 스튜디오 재팬,오사카 이쿠노 코리아타운,40
유니버셜 스튜디오 재팬,덴노지동물원,29
유니버셜 스튜디오 재팬,모마 사쿠라노미야 공원,23
유니버셜 스튜디오 재팬,조폐박물관,36
유니버셜 스튜디오 재팬,시텐노지,30
유니버셜 스튜디오 재팬,Hozenji Yokocho,28
유니버셜 스튜디오 재팬,더 심포니홀,20
유니버셜 스튜디오 재팬,오사카 텐만구 신사,34
유니버셜 스튜디오 재팬,천연 노천온천 스파 스미노에,50
유니버셜 스튜디오 재팬,스미요시 타이샤,37
유니버셜 스튜디오 재팬,텐로쿠 상점가 진흥조합 사무소,24
유니버셜 스튜디오 재팬,일본민가취락박물관,54
유니버셜 스튜디오 재팬,난바 시티 본관,26
유니버셜 스튜디오 재팬,나가이 공원,38
유니버셜 스튜디오 재팬,아메리카무라,28
유니버셜 스튜디오 재팬,키즈프라자 오사카,20
유니버셜 스튜디오 재팬,난바 파크스,25
유니버셜 스튜디오 재팬,다이마루 백화점 신사이바시점,28
유니버셜 스튜디오 재팬,나카노시마 장미 정원,31
유니버셜 스튜디오 재팬,호젠지,23
유니버셜 스튜디오 재팬,오사카 부 사키시마청사 전망대,35
유니버셜 스튜디오 재팬,센니치마에 도구야스지 상점가,27
유니버셜 스튜디오 재팬,오사카 컵라면박물관,47
유니버셜 스튜디오 재팬,니시노마루 정원,40
유니버셜 스튜디오 재팬,한큐백화점,17
유니버셜 스튜디오 재팬,돈키호테 도톤보리점,26
유니버셜 스튜디오 재팬,교세라 돔 오사카,17
유니버셜 스튜디오 재팬,타카무라 와인 & 커피 로스터스,27
