출발지,도착지,소요시간(분)
메이지 신궁 외원,도쿄 스카이트리,35.0
메이지 신궁 외원,도쿄 디즈니랜드,45.0
메이지 신궁 외원,센소지사,37.0
메이지 신궁 외원,고쿄 히가시 교엔,22.0
메이지 신궁 외원,도쿄 디즈니씨,61.0
메이지 신궁 외원,도쿄도청 전망대,15.0
메이지 신궁 외원,에도도쿄건축정원,58.0
메이지 신궁 외원,센소지 가미나리몬,36.0
메이지 신궁 외원,도쿄 국립신미술관,12.0
메이지 신궁 외원,시부야 스카이,13.0
메이지 신궁 외원,야나카긴자,35.0
메이지 신궁 외원,리쿠기엔,34.0
메이지 신궁 외원,롯폰기 힐스,16.0
메이지 신궁 외원,레인보우 브리지,48.0
메이지 신궁 외원,나카미세도리,37.0
메이지 신궁 외원,간다 신사 (간다 묘진),22.0
메이지 신궁 외원,스미다 공원,36.0
메이지 신궁 외원,오다이바 해변공원,40.0
메이지 신궁 외원,모리 타워,19.0
메이지 신궁 외원,도쿄역,22.0
메이지 신궁 외원,도쿄돔,16.0
메이지 신궁 외원,도쿄 돔시티,17.0
메이지 신궁 외원,호피 거리,35.0
메이지 신궁 외원,아사쿠사 신사,43.0
메이지 신궁 외원,도쿄도 현대미술관,39.0
메이지 신궁 외원,긴자 식스,21.0
메이지 신궁 외원,도쿄 대학,28.0
메이지 신궁 외원,도쿄 빅사이트,44.0
메이지 신궁 외원,도쿄 국립 박물관,30.0
메이지 신궁 외원,조죠지,24.0
메이지 신궁 외원,시바 공원,17.0
메이지 신궁 외원,우에노 공원,25.0
메이지 신궁 외원,Shibuya Scramble Crossing,14.0
메이지 신궁 외원,신주쿠 교 엔,12.0
메이지 신궁 외원,도쿄 조이 폴리스,44.0
메이지 신궁 외원,킷데 마루노우치,24.0
메이지 신궁 외원,오모테산도 힐즈,15.0
메이지 신궁 외원,네즈 미술관,15.0
메이지 신궁 외원,아메요코 쇼핑가,25.0
메이지 신궁 외원,모리 미술관,22.0
메이지 신궁 외원,Tokyo Station Gallery,23.0
