,0
0,"(12, 0.3333333333333333)"
1,"(13, 0.3333333333333333)"
2,"(5, 0.2857142857142857)"
3,"(14, 0.25)"
4,"(11, 0.1111111111111111)"
5,"(3, 0.10526315789473684)"
6,"(0, 0.0)"
7,"(1, 0.0)"
8,"(2, 0.0)"
9,"(4, 0.0)"
10,"(6, 0.0)"
11,"(7, 0.0)"
12,"(8, 0.0)"
13,"(9, 0.0)"
14,"(10, 0.0)"
