,0
0,"(5, 0.2857142857142857)"
1,"(11, 0.2222222222222222)"
2,"(0, 0.17647058823529413)"
3,"(13, 0.1111111111111111)"
4,"(3, 0.10526315789473684)"
5,"(1, 0.0)"
6,"(2, 0.0)"
7,"(4, 0.0)"
8,"(6, 0.0)"
9,"(7, 0.0)"
10,"(8, 0.0)"
11,"(9, 0.0)"
12,"(10, 0.0)"
13,"(12, 0.0)"
14,"(14, 0.0)"
