,0
0,"(5, 0.2857142857142857)"
1,"(3, 0.2631578947368421)"
2,"(13, 0.2222222222222222)"
3,"(0, 0.058823529411764705)"
4,"(1, 0.0)"
5,"(2, 0.0)"
6,"(4, 0.0)"
7,"(6, 0.0)"
8,"(7, 0.0)"
9,"(8, 0.0)"
10,"(9, 0.0)"
11,"(10, 0.0)"
12,"(11, 0.0)"
13,"(12, 0.0)"
14,"(14, 0.0)"
