,0
0,"(8, 0.5)"
1,"(7, 0.3333333333333333)"
2,"(0, 0.23529411764705882)"
3,"(9, 0.125)"
4,"(13, 0.1111111111111111)"
5,"(3, 0.10526315789473684)"
6,"(1, 0.0)"
7,"(2, 0.0)"
8,"(4, 0.0)"
9,"(5, 0.0)"
10,"(6, 0.0)"
11,"(10, 0.0)"
12,"(11, 0.0)"
13,"(12, 0.0)"
14,"(14, 0.0)"
